index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;SOUP_1601;Intake of soups [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SOY_PROD_1701;Intake of soy products [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;;;impossible;impossible;;impossible;unavailable
;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;;__BLANK__;paste;6;;complete;identical
