index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;COFFEE_130301;Coffee intake [g/d];decimal;GHS_P1;qu_nutr_coffee_d;direct_mapping;direct_mapping;only frequency;partial;tentative
;TEA_130302;Tea intake [g/d];decimal;GHS_P1;qu_nutr_tea_d;direct_mapping;direct_mapping;only frequency;partial;tentative
;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;WATER_1304;Intake of water and water-based beverages [g/d];decimal;GHS_P1;qu_nutr_water_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;GHS_P1;"sacapi_sm019_i_4;sacapi_sm020_i_4;sacapi_sm019_i_1;sacapi_sm020_i_1;sacapi_sm019_i_5;sacapi_sm020_i_5;sacapi_sm019_i_6;sacapi_sm020_i_6";operation;sacapi_sm019_i_4 + sacapi_sm020_i_4 + sacapi_sm019_i_1 + sacapi_sm020_i_1 + sacapi_sm019_i_5 + sacapi_sm020_i_5 + sacapi_sm019_i_6 + sacapi_sm020_i_6;alcohol intake available in g/day;complete;compatible
;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;GHS_P1;"sacapi_sm019_i_4;sacapi_sm020_i_4";operation;sacapi_sm019_i_4 + sacapi_sm020_i_4;sum of wine intake from weekdays and weekend in g/day;complete;compatible
;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;GHS_P1;"sacapi_sm019_i_1;sacapi_sm020_i_1";operation;sacapi_sm019_i_1 + sacapi_sm020_i_1;sum of beer intake from weekdays and weekend in g/day;complete;compatible
;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;GHS_P1;"sacapi_sm019_i_5;sacapi_sm020_i_5";operation;sacapi_sm019_i_5 + sacapi_sm020_i_5;sum of spirits intake from weekdays and weekend in g/day;complete;compatible
;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;GHS_P1;"sacapi_sm019_i_6;sacapi_sm020_i_6";operation;sacapi_sm019_i_6 + sacapi_sm020_i_6;sum of mixed alcoholic drink intake from weekdays and weekend in g/day;complete;compatible
;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SAUCES_1501;Intake of savoury sauces [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DRESSINGS_150102;Dressing intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;YEAST_1502;Intake of yeast cultures [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CONDIMENTS_1504;Condiments intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SOUP_1601;Intake of soups [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SOY_PROD_1701;Intake of soy products [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;GHS_P1;_BLANK_;paste;0;0 (FPQ);complete;identical
