index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;IDEFICS_P1;G29;direct_mapping;direct_mapping;"SACANA FGS G29 ""meat (other than poultry)-ns""";complete;identical
;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;VEAL_070102;Intake of calf fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;PORK_070103;Intake of pig fresh meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;HORSE_070105;Intake of horse meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;GOAT_070106;Intake of goat meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;POULTRY_0702;Intake of poultry meat [g/d];decimal;IDEFICS_P1;G30;direct_mapping;direct_mapping;"SACANA FGS G30 ""poultry-ns""";complete;identical
;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;CHICKEN_070201;Intake of chicken meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;TURKEY_070202;Intake of turkey meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;DUCK_070203;Intake of duck meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;GOOSE_070204;Intake of goose meat [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;RABBIT_070205;Intake of rabbit meat [g/d];decimal;IDEFICS_P1;G31;operation;weighting*G31;"SACANA FGS G31 ""rabbit and game"" (Gewichtung?)";partial;tentative
;GAME_0703;Intake of game [g/d];decimal;IDEFICS_P1;G31;operation;weighting*G32;"SACANA FGS G31 ""rabbit and game"" (Gewichtung?)";partial;tentative
;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;IDEFICS_P1;G33;direct_mapping;direct_mapping;"SACANA FGS G33 "" Processed meat,salami, processed poultry products , meat salad- ns""";complete;identical
;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;IDEFICS_P1;G32;direct_mapping;direct_mapping;"SACANA FGS G32 ""Offals""";complete;identical
;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;IDEFICS_P1;"H;L45b;L46";operation;H + (weighting*L45b) + (weighting*L46);"SACANA FGS H""Finfish, shelfish and their products"" + (Gewichtung*SACANA FGS L45b ""with meat/fish"") + (Gewichtung*SACANA FGS L46 ""Based on fish"")";complete;compatible
;FISH_0801;Intake of fish (meat) [g/d];decimal;IDEFICS_P1;H34;operation;weighting*H34;"SACANA FGS H34 ""Fish and seafood"" (Gewichtung?)";partial;tentative
;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;IDEFICS_P1;H34;operation;weighting*H34;"SACANA FGS H34 ""Fish and seafood"" (Gewichtung?)";partial;tentative
;FISH_PROD_0803;Intake of processed fish [g/d];decimal;IDEFICS_P1;H35;direct_mapping;direct_mapping;"SACANA FGS H35 ""Processed fish products""";complete;identical
;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;IDEFICS_P1;"I;L45";operation;I+ (weighting*L45);"SACANA FGS I ""Eggs"" + (Gewichtung*L45 ""based on eggs"")";complete;compatible
;EGGS_0901;Intake of eggs [g/d];decimal;IDEFICS_P1;I;direct_mapping;direct_mapping;"SACANA FGS I ""Eggs""";complete;identical
;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;IDEFICS_P1;"C12;C13;C14";operation;C12 + C13 + C14;"SACANA FGS C12 ""vegetable oils ns"" + SACANA FGS C13 ""margarines and lipids of mixed origin"" + SACANA FGS C14 ""butter and animal fats""";complete;compatible
;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;IDEFICS_P1;C12;direct_mapping;direct_mapping;"SACANA FGS C12 ""vegetable oils ns""";complete;identical
;BUTTER_1002;Intake of butter [g/d];decimal;IDEFICS_P1;C14;operation;weighting*C14;"SACANA FGS C14 ""butter and animal fats"" (Gewichtung für Butter?)";partial;tentative
;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;IDEFICS_P1;C13;direct_mapping;direct_mapping;"SACANA FGS C13 ""margarines and lipids of mixed origin""";complete;identical
;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;IDEFICS_P1;C14;operation;weighting*C14;"SACANA FGS C14 ""butter and animal fats"" (Gewichtung für animal fat?)";partial;tentative
;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;IDEFICS_P1;B;direct_mapping;direct_mapping;"SACANA FGS B ""Sugar and sugar products""";complete;identical
;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;IDEFICS_P1;B08;direct_mapping;direct_mapping;"SACANA FGS B08 ""Sugar, honey, jam and sweet sauces or dessert sauces """;complete;identical
;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;IDEFICS_P1;B10;direct_mapping;direct_mapping;"SACANA FGS B10 ""Chocolate ns""";complete;identical
