index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
94;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;KORA_S1_P1;"AV825; AV829";operation;AV825 + AV829;AV825 (caffeinated lemonade) + AV829 (other soft drinks);complete;compatible
95;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;KORA_S1_P1;"AV841; AV845; AV850";operation;AV841 + AV845 + AV850;AV841 (roasted coffee) + AV845 (coffee extracts) + AV850 (tea);complete;compatible
96;COFFEE_130301;Coffee intake [g/d];decimal;KORA_S1_P1;"AV841; AV845";operation;AV841 + AV845;AV841 (roasted coffee) + AV845 (coffee extracts);complete;compatible
97;TEA_130302;Tea intake [g/d];decimal;KORA_S1_P1;AV850;direct_mapping;direct_mapping;AV850 (tea);complete;identical
98;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
99;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
100;WATER_1304;Intake of water and water-based beverages [g/d];decimal;KORA_S1_P1;AV821;direct_mapping;direct_mapping;AV821 (table water);complete;identical
101;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;KORA_S1_P1;"AV860; AV870;  AV881; 
AV885; AV889";operation;"AV860 + AV870 +  AV881 +  
AV885 + AV889";"AV860 (spirits) + AV870 (beer) + AV881 (grape wine) + 
AV885 (grape sparkling wine) + AV889 (fruitwine)";complete;compatible
102;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;KORA_S1_P1;"AV881;  
AV885; AV889";operation;"AV881 +  
AV885 + AV889";"AV881 (grape wine) + 
AV885 (grape sparkling wine) + AV889 (fruitwine)";complete;compatible
103;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
104;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;KORA_S1_P1;AV870;direct_mapping;direct_mapping;AV870 (beer);complete;identical
105;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;KORA_S1_P1;AV860;direct_mapping;direct_mapping;AV860 (spirits);complete;identical
106;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
107;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
108;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
109;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
110;SAUCES_1501;Intake of savoury sauces [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
111;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
112;DRESSINGS_150102;Dressing intake [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
113;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
114;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
