index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
45;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
46;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;GINI_P1;"FFQCORN_15;FFQMUES_15";operation;"FFQCORN_15 +
FFQMUES_15";;complete;compatible
47;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
48;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;GINI_P1;FFQCROIS_15;direct_mapping;direct_mapping;;complete;identical
49;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;GINI_P1;FFQSGRUREDMEAT_15;direct_mapping;direct_mapping;;complete;identical
50;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;GINI_P1;"FFQRIND_15;FFQSCHW_15";operation;"FFQRIND_15 +
FFQSCHW_15";;complete;compatible
51;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;GINI_P1;FFQRIND_15;operation;FFQRIND_15 * 0.5;Gruppe FFQRind beinhaltet auch Kalbsfleisch, deshalb Gewichtung á 50%;partial;tentative
52;VEAL_070102;Intake of calf fresh meat [g/d];decimal;GINI_P1;FFQRIND_15;operation;FFQRIND_15 * 0.5;Gruppe FFQRind beinhaltet auch Kalbsfleisch, deshalb Gewichtung á 50%;partial;tentative
53;PORK_070103;Intake of pig fresh meat [g/d];decimal;GINI_P1;FFQSCHW_15;direct_mapping;direct_mapping;;complete;identical
54;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
55;HORSE_070105;Intake of horse meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
56;GOAT_070106;Intake of goat meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
57;POULTRY_0702;Intake of poultry meat [g/d];decimal;GINI_P1;FFQHUHN_15;direct_mapping;direct_mapping;;complete;identical
58;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
59;CHICKEN_070201;Intake of chicken meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
60;TURKEY_070202;Intake of turkey meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
61;DUCK_070203;Intake of duck meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
62;GOOSE_070204;Intake of goose meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
63;RABBIT_070205;Intake of rabbit meat [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
64;GAME_0703;Intake of game [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
65;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;GINI_P1;"FFQAUFSCH_15;FFQBOCK_15;FFQBRAT_15;FFQSALAM_15";operation;"FFQAUFSCH_15 +
FFQBOCK_15 +
FFQBRAT_15 +
FFQSALAM_15";;complete;compatible
66;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;GINI_P1;FFQINNER_15;direct_mapping;direct_mapping;;complete;identical
67;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;GINI_P1;"FFQSEE_15;FFQSUESS_15;FFQBISM_15;FFQKONS_15;FFQSTAEB_15";operation;"FFQSEE_15 +
FFQSUESS_15 + 
FFQBISM_15 +
FFQKONS_15 +
FFQSTAEB_15";;complete;compatible
68;FISH_0801;Intake of fish (meat) [g/d];decimal;GINI_P1;"FFQSEE_15;FFQSUESS_15";operation;"FFQSEE_15 +
FFQSUESS_15";;complete;compatible
69;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
70;FISH_PROD_0803;Intake of processed fish [g/d];decimal;GINI_P1;"FFQBISM_15;FFQKONS_15;FFQSTAEB_15";operation;"FFQBISM_15 +
FFQKONS_15 +
FFQSTAEB_15";;complete;compatible
71;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;GINI_P1;FFQEI_15;direct_mapping;direct_mapping;;complete;identical
72;EGGS_0901;Intake of eggs [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
