index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
59;CHICKEN_070201;Intake of chicken meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
60;TURKEY_070202;Intake of turkey meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
61;DUCK_070203;Intake of duck meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
62;GOOSE_070204;Intake of goose meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
63;RABBIT_070205;Intake of rabbit meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
64;GAME_0703;Intake of game [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
65;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;KARMEN_P1;Flei_Wurst;direct_mapping;direct_mapping;;complete;identical
66;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
67;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;KARMEN_P1;Fish_sum;direct_mapping;direct_mapping;;complete;identical
68;FISH_0801;Intake of fish (meat) [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
69;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
70;FISH_PROD_0803;Intake of processed fish [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
71;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;KARMEN_P1;Eier_sum_NCI;direct_mapping;direct_mapping;;complete;identical
72;EGGS_0901;Intake of eggs [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
73;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;KARMEN_P1;Fett_sum;direct_mapping;direct_mapping;;complete;identical
74;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;KARMEN_P1;veg_fatsoils_NCI;direct_mapping;direct_mapping;;complete;identical
75;BUTTER_1002;Intake of butter [g/d];decimal;KARMEN_P1;Butter_NCI;direct_mapping;direct_mapping;;complete;identical
76;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;KARMEN_P1;Marg_Streichf_NCI;direct_mapping;direct_mapping;;complete;identical
77;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
78;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
79;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;KARMEN_P1;Animal_fatsoils_NCI;direct_mapping;direct_mapping;;complete;identical
80;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;KARMEN_P1;Sues_sum;direct_mapping;direct_mapping;;complete;identical
81;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
82;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;KARMEN_P1;Sues13_1;operation;0.5 * Sues13_1;;partial;tentative
83;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;KARMEN_P1;Sues13_1;operation;0.5 * Sues13_1;;partial;tentative
84;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
85;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;KARMEN_P1;Sues13_2;direct_mapping;direct_mapping;;complete;identical
86;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
87;SORBET_110502;Sorbet intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
88;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
89;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;KARMEN_P1;Cakes_NCI;direct_mapping;direct_mapping;;complete;identical
90;VARPASTRY_1201;Intake of various pastry [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
91;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
92;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;KARMEN_P1;Getr15_1;direct_mapping;direct_mapping;;complete;identical
93;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;KARMEN_P1;Getr15_14;direct_mapping;direct_mapping;;complete;identical
94;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;KARMEN_P1;Getr15_16;direct_mapping;direct_mapping;;complete;identical
95;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;KARMEN_P1;"Getr15_12;Getr15_13";operation;Getr15_12 + Getr15_13;;complete;compatible
96;COFFEE_130301;Coffee intake [g/d];decimal;KARMEN_P1;Getr15_12;operation;0.5 * Getr15_12;Do you know the proportion of coffee drinkers? Does 50% make sense?;partial;tentative
97;TEA_130302;Tea intake [g/d];decimal;KARMEN_P1;Getr15_12;operation;0.5 * Getr15_12;Do you know the proportion of tea drinkers? Does 50% make sense?;partial;tentative
98;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;KARMEN_P1;Getr15_13;direct_mapping;direct_mapping;;complete;identical
99;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
100;WATER_1304;Intake of water and water-based beverages [g/d];decimal;KARMEN_P1;Getr15_11;direct_mapping;direct_mapping;;complete;identical
101;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;KARMEN_P1;Getr15_2;direct_mapping;direct_mapping;;complete;identical
102;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;KARMEN_P1;Getr15_22;direct_mapping;direct_mapping;;complete;identical
103;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
104;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;KARMEN_P1;Getr15_21;direct_mapping;direct_mapping;;complete;identical
105;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;KARMEN_P1;Getr15_23;direct_mapping;direct_mapping;;complete;identical
106;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
107;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
108;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;KARMEN_P1;Getr15_24;direct_mapping;direct_mapping;;complete;identical
109;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;KARMEN_P1;Sose_sum;direct_mapping;direct_mapping;;complete;identical
110;SAUCES_1501;Intake of savoury sauces [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
111;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
112;DRESSINGS_150102;Dressing intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
113;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
114;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
115;YEAST_1502;Intake of yeast cultures [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
116;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
117;CONDIMENTS_1504;Condiments intake [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
118;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;KARMEN_P1;Supp_sum;direct_mapping;direct_mapping;;complete;identical
119;SOUP_1601;Intake of soups [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
120;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
121;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;KARMEN_P1;Sonst_sum;direct_mapping;direct_mapping;;complete;identical
122;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;KARMEN_P1;Veg_products_NCI;direct_mapping;direct_mapping;;complete;identical
123;SOY_PROD_1701;Intake of soy products [g/d];decimal;KARMEN_P1;Soyproducts_NCI;direct_mapping;direct_mapping;;complete;identical
124;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
125;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;KARMEN_P1;Suessstoffe;direct_mapping;direct_mapping;;complete;identical
126;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
127;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
128;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;KARMEN_P1;__BLANK__;paste;2;2 (24HDR);complete;identical
