index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
62;GOOSE_070204;Intake of goose meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
63;RABBIT_070205;Intake of rabbit meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
64;GAME_0703;Intake of game [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
65;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;SHIP_P1;"food_2;food_3";operation;food_2 + food_3;only frequency;partial;tentative
66;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
67;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
68;FISH_0801;Intake of fish (meat) [g/d];decimal;SHIP_P1;food_5;direct_mapping;direct_mapping;only frequency;partial;tentative
69;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
70;FISH_PROD_0803;Intake of processed fish [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
71;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;SHIP_P1;food_26;direct_mapping;direct_mapping;only frequency;partial;tentative
72;EGGS_0901;Intake of eggs [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
73;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;SHIP_P1;"food_19;food_20;food_17;food_18";operation;food_19 + food_20 + food_17 + food_18;only frequency;partial;tentative
74;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;SHIP_P1;"food_19;food_20";operation;food_19 + food_20;only frequency;partial;tentative
75;BUTTER_1002;Intake of butter [g/d];decimal;SHIP_P1;food_17;direct_mapping;direct_mapping;only frequency;partial;tentative
76;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;SHIP_P1;food_18;direct_mapping;direct_mapping;only frequency;partial;tentative
77;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
78;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
